BasketballPass__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComPicYuv::create	32,665	2,468	5,807	21	36	630	18	1	612
TEncSearch::xRecurIntraCodingQT	32,258	12,004	9,550	1,414	2,750	1,280	55	2	16
std::string::_M_mutate	31,863	11,592	8,256	23	235	46	7	0	0
char*	31,052	8,384	11,157	21	142	38	7	0	0
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_xsputn@@GLIBC_2.1	30,922	7,415	3,682	18	46	10	7	10	2
isAboveAvailable	29,501	9,318	10,672	903	594	352	4	4	3
TEncSbac::codeQtCbf	29,400	12,152	7,448	1,018	848	152	6	8	1
isBelowLeftAvailable	28,203	10,134	9,295	740	315	105	3	0	0
isAboveRightAvailable	27,318	9,318	9,498	1,034	319	73	5	0	0
TComDataCU::getQuadtreeTULog2MinSizeInCU	26,748	11,056	3,598	567	947	60	4	20	0
TComPrediction::filteringIntraReferenceSamples	25,332	6,400	1,794	751	984	195	4	2	3
std::string::find_first_of	25,238	8,556	7,426	74	0	0	2	0	0
std::locale::id::_M_id	24,916	10,321	6,215	10	188	0	2	4	0
char*	24,708	6,484	9,010	77	50	22	4	0	0
/build/buildd/eglibc-2.19/stdio-common/vfprintf.c:vfprintf	24,598	8,322	6,032	122	100	49	72	15	6
TComYuv::copyPartToPartComponent	24,583	9,200	5,968	241	427	50	12	9	0
TEncSearch::xRecurIntraChromaCodingQT	24,079	8,408	8,855	1,082	1,335	366	35	72	6
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strlen-sse2-bsf.S:__strlen_sse2_bsf	23,816	4,708	1,330	90	900	0	10	756	0
std::_Rb_tree_insert_and_rebalance	23,784	8,888	5,284	7	740	140	6	0	0
TComDataCU::getCoefScanIdx	23,687	8,638	3,174	914	982	201	7	0	10
std::istreambuf_iterator<char,	23,093	6,231	5,852	350	189	6	25	0	0
TComRdCost::xGetSSE4	21,546	8,316	4,788	426	69	76	5	0	0
df::program_options_lite::Options::~Options	21,142	8,163	5,051	11	2,238	35	11	26	0
TEncBinCABAC::copyState	20,160	10,920	8,400	106	1,588	730	2	1	4
std::basic_filebuf<char,	19,684	8,162	4,802	8	476	0	7	0	0
TEncSbac::xWriteCoefRemainExGolomb	19,682	7,646	4,970	220	24	7	6	0	0
std::string::_Rep::_M_destroy	19,529	7,102	7,102	11	86	146	2	0	0
std::basic_streambuf<char,	19,311	6,887	5,445	4	351	770	3	0	0
/build/buildd/eglibc-2.19/elf/dl-misc.c:_dl_name_match_p	19,220	4,796	6,028	13	421	48	2	1	7
std::basic_string<char,	18,568	6,008	5,462	16	86	21	3	0	0
df::program_options_lite::scanLine	18,413	5,126	7,104	149	290	2	17	0	0
TEncSearch::xModeBitsIntra	18,090	9,715	7,035	37	1,851	35	4	2	0
/build/buildd/eglibc-2.19/elf/dl-runtime.c:_dl_fixup	18,000	6,800	3,400	34	2,047	66	5	167	5
std::locale::locale	17,429	5,409	5,409	89	139	360	3	0	0
TComRdCost::getDistPart	17,296	5,608	9,958	1,158	152	640	6	20	0
std::_Rb_tree<std::string,	17,196	4,878	4,101	322	1,236	7	4	11	0
std::basic_string<char,	17,116	5,268	7,242	17	108	192	4	0	71
std::_Rb_tree<std::string,	17,092	5,413	3,659	23	1,152	15	23	4	0
TEncBinCABACCounter::encodeBinsEP	16,940	6,160	4,620	86	14	4	0	0	0
ContextModel3DBuffer::ContextModel3DBuffer	16,926	9,672	7,254	4	32	623	2	0	570
operator	16,687	6,068	6,068	6	121	31	2	1	1
TEncSearch::xEncSubdivCbfQT	16,589	6,512	5,360	990	807	73	15	4	0
TComTrQuant::xQuant	16,390	7,450	5,364	440	737	1,060	4	0	16
TEncSearch::xRecurIntraChromaCodingQT	16,306	5,412	5,690	722	680	344	10	0	7
partialButterfly4	16,260	7,500	2,880	40	110	178	7	2	8
std::string::_Rep::_M_dispose	16,062	5,534	3,904	16	581	5	4	5	0
std::istream::read	15,840	6,720	6,240	3	358	565	3	2	0
xTrMxN	15,321	4,636	4,339	974	789	667	15	3	13
TEncSbac::estBit	15,198	4,768	9,536	282	298	422	4	6	0
TEncSbac::xCopyContextsFrom	15,150	6,060	6,060	49	1,058	331	2	6	1
QpParam::QpParam	14,968	6,622	4,590	876	1,434	50	6	90	0
TEncSearch::xEncCoeffQT	14,308	6,782	4,428	748	627	52	7	0	0
TComPrediction::predIntraGetPredValDC	14,112	3,320	408	161	311	117	4	0	16
partialButterflyInverse4	14,000	7,240	2,080	149	30	120	8	1	4
TEncSearch::xLoadIntraResultQT	13,860	5,112	2,736	231	348	54	17	0	0
std::string::find_last_not_of	13,671	3,605	4,072	5	2	0	2	0	0
TAppEncCfg::xCheckParameter	13,487	5,344	2,492	172	68	84	169	1	1
TEncSearch::xGetIntraBitsQT	13,176	5,952	6,486	547	851	113	6	0	0
TComDataCU::getPUAboveLeft	13,121	5,221	3,236	1,284	544	353	11	30	12
/build/buildd/eglibc-2.19/string/../sysdeps/i386/strchrnul.S:strchrnul	12,968	1,457	173	12	103	0	12	77	0
TEncSearch::xUpdateCandList	12,917	3,845	1,749	32	217	6	3	2	0
TEncSearch::xEncSubdivCbfQT	12,785	5,320	3,407	25	153	75	0	0	3
/build/buildd/eglibc-2.19/math/../sysdeps/i386/fpu/e_pow.S:__pow_finite	12,784	1,474	296	7	209	0	7	4	0
TComTU::getGolombRiceStatisticsIndex	12,708	6,877	1,058	714	270	0	2	31	0
std::string::find	12,632	3,951	3,158	79	251	8	4	0	0
TComTrQuant::invTransformNxN	12,580	6,068	4,736	625	664	296	9	0	0
TEncEntropy::encodeCoeffNxN	12,489	6,624	3,657	477	306	404	4	1	3
ContextModel::init	12,288	2,020	808	2	0	100	2	0	0
TComTrQuant::rdpcmNxN	12,218	5,662	3,576	575	657	582	4	21	16
std::basic_istream<char,	12,148	4,308	3,295	347	151	4	14	2	0
TEncSearch::xEncCoeffQT	12,029	6,285	3,078	30	356	72	0	10	0
TComDataCU::create	12,021	3,066	6,333	25	446	613	21	5	0
std::basic_ios<char,	11,824	3,552	5,617	384	426	9	6	0	0
TComDataCU::CUIsFromSameSliceAndTile	11,810	5,905	2,362	263	0	0	2	0	0
std::locale::~locale	11,720	4,102	2,344	71	216	0	1	0	0
TEncSbac::estSignificantCoeffGroupMapBit	11,324	5,662	2,980	458	417	298	2	16	1
