Traffic__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncSearch::xEncCoeffQT	11686852	5534767	3589050	632966	131950	25	19	0	0	11053867	5402817	3589025	3.67571556686 %	5.41605215844 %	1.44648889823 %	9.12993234384e-05 %	0.000162575858751 %	0.0 %
TComYuv::copyToPicComponent	11528968	4755544	3008138	92250	136537	19489	15	212	3	11436703	4618795	2988646	1.28689423174 %	0.800158348952 %	2.00969076271 %	0.00119216385515 %	0.00013010704861 %	0.00276930456451 %
TEncSbac::loadIntraDirMode	11518815	5584880	3839605	23322	114573	0	7	21	0	11495486	5470286	3839605	0.658420592743 %	0.20246874353 %	1.21569507512 %	0.000133694307965 %	6.0770139984e-05 %	0.000222823846608 %
TEncEntropy::xEncodeTransform	11490411	4749516	2496621	58205	37871	25947	32	5	9	11432174	4711640	2470665	0.651256570848 %	0.506552811731 %	0.880717546466 %	0.000245509471649 %	0.000278493084364 %	0.000193206393972 %
TComTrQuant::xITransformSkip	11139665	3771015	1993870	353261	0	1538	18	0	0	10786386	3771015	1992332	2.09883729528 %	3.17119949298 %	0.0266787628895 %	0.000106480207991 %	0.000161584751427 %	0.0 %
TEncSearch::xGetIntraBitsQT	11002016	4974942	5407456	422594	206332	6159	18	0	0	10579404	4768610	5401297	2.96984991031 %	3.84105967488 %	2.04664664175 %	8.41734545543e-05 %	0.000163606379049 %	0.0 %
TComRdCost::setDistParam	10428752	5214376	3987464	382617	327617	163306	7	3	0	10046128	4886756	3824158	4.44989127175 %	3.66886661031 %	5.33505255471 %	5.09408987768e-05 %	6.7122125447e-05 %	3.26021752171e-05 %
TEncCu::xCheckRDCostMerge2Nx2N	10079452	3464978	5156567	336933	419224	45094	38	3	4	9742481	3045751	5111469	4.28453627365 %	3.34277101573 %	5.38555444529 %	0.000240628881979 %	0.00037700462287 %	8.11919441353e-05 %
TComYuv::copyPartToPartComponentMxN	9932392	4055976	2862920	45906	19722	954	6	1	0	9886480	4036253	2861966	0.395115198316 %	0.462184738581 %	0.298833802387 %	4.15398514345e-05 %	6.04084091727e-05 %	1.44531728761e-05 %
TComDataCU::deriveLeftRightTopIdx	9926076	5232036	1772224	220164	610480	57464	12	1	4	9705900	4621555	1714756	5.24566080673 %	2.21803661386 %	9.53625365135 %	0.000100411474409 %	0.000120893694548 %	7.1385128479e-05 %
TEncSbac::store	9387612	3129204	3911505	5028	6224	81574	0	0	4	9382584	3122980	3829927	0.565036439208 %	0.0535599468747 %	1.24700509565 %	2.43481972382e-05 %	0.0 %	5.68124602224e-05 %
TComTrQuant::signBitHidingHDQ	9384302	3494675	864305	417945	27312	0	58	0	0	8966299	3467363	864305	3.23981564229 %	4.45366101816 %	0.626568600911 %	0.000422024375255 %	0.000618053425817 %	0.0 %
TComDataCU::deriveLeftBottomIdx	9088456	4448684	1294584	101654	223532	0	7	2	0	8986795	4225150	1294584	2.1925030428 %	1.11849581491 %	3.89206981112 %	6.06807408228e-05 %	7.70207832882e-05 %	3.48233793025e-05 %
TEncSearch::xSetResidualQTData	9034614	3455054	1814228	22950	70340	15769	7	1	6	9011657	3384713	1798453	0.762442624024 %	0.254023027436 %	1.63416951304 %	9.78754319802e-05 %	7.74797905035e-05 %	0.000132845423722 %
TComBitCounter::resetBits	8707443	5804962	2902481	113497	0	0	2	0	0	8593944	5804962	2902481	0.651724048036 %	1.30344809607 %	0.0 %	1.14844277476e-05 %	2.29688554952e-05 %	0.0 %
xITrMxN	8679401	2338789	2652467	1184783	7816	224470	39	0	7	7494579	2330973	2427990	10.3657710087 %	13.6505157441 %	4.65385866804 %	0.000336487119822 %	0.000449339764345 %	0.000140245260912 %
TEncSearch::xRecurIntraChromaCodingQT	8606254	3057018	3144498	354982	121354	79172	30	0	11	8251242	2935664	3065315	3.7514629144 %	4.12469815555 %	3.23349967976 %	0.000276881664153 %	0.000348583715981 %	0.00017737598355 %
TEncGOP::xCalculateAddPSNR	8269382	3006085	5782	209	98235	107	90	653	0	8269083	2907197	5675	0.873582348905 %	0.00252739563851 %	3.26515081841 %	0.0065861501683 %	0.00108835218883 %	0.0216809042365 %
TEncSearch::xRecurIntraCodingQT	8042221	2927685	2358284	361689	110337	94752	101	0	24	7680431	2817348	2263508	4.25247539238 %	4.49737703055 %	3.87987519412 %	0.000937861780182 %	0.00125587197865 %	0.000454032174612 %
TEncSearch::xEncSubdivCbfQT	8000936	3286709	1838190	20189	4976	16072	0	0	3	7980747	3281733	1822115	0.314166679682 %	0.252332977042 %	0.410700776737 %	2.28556888e-05 %	0.0 %	5.85377389876e-05 %
TEncSearch::xStoreIntraResultQT	7986948	3855768	2134443	267602	81314	0	21	0	0	7719325	3774454	2134443	2.4963299051 %	3.3504913266 %	1.35744800976 %	0.000150245124921 %	0.000262928968612 %	0.0 %
TEncSearch::xEncIntraHeader	7656648	2969733	2004121	808188	109941	4017	37	0	1	6848423	2859792	2000103	7.3009449664 %	10.5553761907 %	2.29114083365 %	0.000300858984069 %	0.000483240185522 %	2.01051337655e-05 %
TEncSearch::xEncCoeffQT	7631294	3920024	1978802	37320	20757	5	0	0	0	7593974	3899267	1978797	0.429279267294 %	0.489038949358 %	0.351968340819 %	0.0 %	0.0 %	0.0 %
TComRdCost::setDistParam	7602969	3455895	2995109	65142	111206	0	6	0	0	7537821	3344689	2995109	1.25479108292 %	0.856796864488 %	1.7238556975 %	4.26925539134e-05 %	7.8916539052e-05 %	0.0 %
TComBitCounter::getNumberOfWrittenBits	7559394	7559394	0	2358	0	0	0	0	0	7557036	7559394	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::getTEncBinCABAC	7185720	7185720	0	54552	0	0	2	0	0	7131166	7185720	0	0 %	0 %	0 %	0 %	0 %	0 %
