BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TEncBinCABAC::resetBits	111,870,096	27,967,524	65,257,556	185,149	1,103,834	0	56	2	0
QpParam::QpParam	111,165,712	28,229,036	18,970,104	2,203,454	2,568,434	481	1,613	375	0
TEncEntropy::encodeCoeffNxN	105,951,479	58,905,168	29,650,951	1,179,025	2,363,597	3,838,795	555	115	403
fastForwardDst	101,251,838	46,359,042	12,224,026	532,548	230,642	645,977	444	17	63
TEncSbac::load	98,615,064	32,871,688	41,089,610	182,326	3,240,809	30,066	374	0	2
TComYuv::copyToPartComponent	97,712,343	34,942,770	24,587,352	502,648	1,081,083	156,561	2,762	910	46
TComRdCost::xGetSAD	97,415,296	26,969,360	686,224	22,810	1,273,137	31,329	609	353	191
TComYuv::copyPartToPartYuv	96,844,800	21,184,800	27,237,600	483,686	2,292,421	22,368	2,904	113	100
TEncSearch::xEncodeResidualQT	95,987,723	43,687,993	32,131,219	1,910,691	3,915,613	1,389,110	4,645	143	201
TEncSbac::codeIntraDirLumaAng	95,016,819	32,873,388	32,984,021	1,994,611	2,560,655	1,032,605	526	382	17
TEncEntropy::estimateBit	95,007,552	43,545,128	31,669,184	276,053	2,571,479	509,709	955	295	0
TComDataCU::getPUAboveRight	91,454,413	45,118,271	16,658,114	1,279,965	4,448,916	268,651	8,694	2,881	3,408
TEncSearch::xGetInterPredictionError	91,029,568	28,446,740	40,638,200	984,433	3,591,795	1,385,031	5,123	1,521	2,245
TEncSearch::xPatternSearchFracDIF	90,778,908	31,895,292	40,073,572	1,228,421	6,148,138	2,818,860	4,420	0	0
TComPrediction::xPredInterBi	89,928,946	34,433,150	27,800,692	1,240,740	1,876,006	474,390	7,097	2,778	306
partialButterflyInverse4	87,789,800	45,399,868	13,043,056	960,080	134,026	798,410	721	136	18
TComTU::GetEquivalentLog2TrSize	86,946,970	39,521,350	7,904,270	404,247	3,625,884	0	239	0	0
TComDataCU::setMVPIdxSubParts	86,348,425	39,809,095	22,731,500	1,207,420	8,302,184	1,433,153	5,925	1,953	0
TComCUMvField::setAllMvField	85,607,640	34,705,800	43,960,680	767,098	179,883	10,688	1,791	84	0
TComDataCU::getCtxQtCbf	85,450,359	44,613,356	0	665,841	556,096	0	2,580	0	0
TEncSbac::xWriteCoefRemainExGolomb	84,157,471	34,515,630	22,094,338	445,322	55,221	35,101	408	0	0
TComDataCU::xGetDistScaleFactor	83,585,358	15,920,128	4,548,608	476,791	0	0	2,023	0	0
TComDataCU::setMVPNumSubParts	83,414,221	38,461,160	21,985,649	346,593	2,149,910	222,457	3,689	1,187	0
TComPrediction::xPredIntraPlanar	83,054,825	37,874,114	14,319,398	493,415	98,900	781,818	1,030	3	2,655
TComPrediction::initAdiPatternChType	82,281,196	31,482,710	22,779,638	2,062,286	2,670,245	1,931,477	3,243	402	7,465
TComTrQuant::getSigCoeffGroupCtxInc	80,723,440	27,048,210	6,066,810	167,037	61,131	0	725	0	0
TComPrediction::predIntraAng	76,621,993	31,061,226	20,411,184	769,541	2,684,909	181,303	1,442	44	29
TEncSearch::xSetSearchRange	75,289,500	25,096,500	32,067,750	604,254	146,877	312,064	1,090	59	0
TEncEntropy::encodeQtCbf	70,366,184	40,209,248	25,130,780	307,047	1,410,766	343,454	103	11	182
TComDataCU::getIntraDirPredictor	66,410,767	21,683,117	17,861,181	1,497,139	1,928,446	161,380	1,397	3,739	20

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	8375072647	3189546174	2076906395	50163392	245526450	100553752	41891	26900	23149
Filter	86262526604	45969370686	4496264350	10332100	565349648	381305889	42027	1940928	530145
InvQuant	695383102	263499405	38474626	1842354	3560723	4300303	1139	0	0
Quant	22152375049	8350688751	4969460106	46797797	477619784	488535619	50528	227445	201060
InvTransf	2496546492	1321339150	235101881	6019613	20053916	14009429	15384	6559	4465
Transf	15426076525	6630661496	2806173953	84970196	397868327	170580492	99576	22182	78687
Pre/Pos	3987973476	1333768504	703508391	12670019	61012004	23323993	70263	17571	96937
Inter/Intra	129710712468	44254374855	22401326745	117897307	1022439045	249783756	436159	1307509	308892
Intra	1771171046	610097728	301846806	12668816	26067125	16402972	11313	35068	103024
Inter	10053044315	3200224981	2259768913	84597224	358174116	109438359	364796	418711	175804
Inter/Intra	117886497107	40444052146	19839711026	20631267	638197804	123942425	60050	853730	30064
PROGRAM TOTALS	296,883,051,326	121,097,679,683	45,615,865,905	481,352,397	3,698,569,097	3,119,530,648	1,230,892	5,373,419	6,227,814
