Traffic__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
fastForwardDst	2887542694	1322086746	348609938	14132191	9866319	22603762	9576	694	10082	2873400927	1312219733	325996094	1.02237438922 %	0.489419291682 %	1.94350544362 %	0.000446488179147 %	0.0003316314602 %	0.000645000382367 %
TComDataCU::setCbfPartRange	2773584990	1386792495	924528330	9853359	99805911	28855178	21876	906	0	2763709755	1286985678	895673152	2.72403173312 %	0.355257150422 %	5.56656123236 %	0.000448031897322 %	0.000788726506629 %	3.9198366155e-05 %
TComDataCU::setExplicitRdpcmModePartRange	2773530774	1386765387	924510258	13533255	89783105	79617737	375123	1642	57243	2759622396	1296980640	844835278	3.59766099092 %	0.487943206791 %	7.32932233187 %	0.00853538884742 %	0.0135251068247 %	0.00254772727465 %
TEncSearch::xEncodeResidualQT	2764779202	1236370195	599639223	9390752	43610957	22794585	17447	0	24598	2755371003	1192759238	576820040	1.6474630821 %	0.339656490226 %	3.616841033 %	0.000913865066898 %	0.000631044966896 %	0.00133975347614 %
TComTrQuant::xIT	2754713402	597231710	551572387	24843079	41739563	49945155	15250	2043	1796597	2729855073	555490104	499830635	2.98519981094 %	0.901838971051 %	7.98088361971 %	0.0464680893698 %	0.000553596609685 %	0.156566294001 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	2687748210	1343874105	895916070	2684734	79939297	17602	4510	169	0	2685058966	1263934639	895898468	1.67713828981 %	0.0998878537064 %	3.56983881314 %	9.49561349789e-05 %	0.000167798456091 %	7.54534964419e-06 %
TEncSbac::codeIntraDirLumaAng	2678092058	925987068	929574874	53649060	52523506	17472471	14618	179051	2526	2624428380	873284511	912099877	2.72727113714 %	2.00325675287 %	3.77222529821 %	0.00432752477362 %	0.000545836352277 %	0.00978555314647 %
TEncSbac::estSignificantCoeffGroupMapBit	2654971916	1327485958	698676820	21354132	20734707	69867682	16156	44909	24154	2633601628	1306706342	628784984	2.391653484 %	0.804307264846 %	4.47162439187 %	0.00182047741778 %	0.00060851867783 %	0.00340856128391 %
TComDataCU::getPartIndexAndSize	2636318558	1186930487	416155045	7812647	196126849	25493857	421370	78725	12744	2628084541	990724913	390648444	5.41192460377 %	0.296346849901 %	13.8246339061 %	0.0120969595989 %	0.015983273293 %	0.00570580908967 %
TComRdCost::xGetSSE64	2612740644	1154085759	1135502361	2060551	39747396	3530369	43850	35739	2860	2610636243	1114302624	1131969132	0.924832221228 %	0.0788655010489 %	1.89019870526 %	0.00168183334838 %	0.00167831430573 %	0.00168584906878 %
TComRdCost::xGetSAD12	2571510984	711705204	61505388	131396	12339022	233395	2607	56442	448	2571376981	699309740	61271545	0.379816756383 %	0.00510968068259 %	1.62600165208 %	0.00177883266658 %	0.000101380084169 %	0.0073576333005 %
TComDataCU::getPUAbove	2549461735	1223180098	575047892	64244828	64198976	9518025	100251	2364744	7254	2485116656	1156616378	565522613	3.17322158954 %	2.51993693877 %	4.09942462301 %	0.0568635104245 %	0.00393224179927 %	0.131907523028 %
TComCUMvField::setAllRefIdx	2482588671	755916569	532675924	17351131	24697907	23600382	54583	17135	92086	2465182957	731201527	508983456	1.74081851667 %	0.698912840564 %	3.74814297479 %	0.00434357281914 %	0.00219863244514 %	0.00847599226236 %
