cfg__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32
function: PROGRAM TOTALS	Ir: 12,464,800,685	ILmr: 39,202	I1mr: 65,298,093	DLmr: 330,052	DLmw: 662,125	D1mr: 225,954,453	Dw: 2,369,827,500	Dr: 5,006,555,831	D1mw: 186,465,024
function: TComRdCost::xGetSAD4	Ir: 34,475,052	ILmr: 68	I1mr: 20,539	DLmr: 1,064	DLmw: 0	D1mr: 287,448	Dw: 1,975,938	Dr: 10,831,886	D1mw: 26,344
function: TEncSearch::estIntraPredQT	Ir: 34,388,990	ILmr: 179	I1mr: 780,399	DLmr: 85	DLmw: 74	D1mr: 1,395,855	Dw: 16,590,084	Dr: 11,923,601	D1mw: 571,726
function: TComRdCost::getDistPart	Ir: 33,704,990	ILmr: 101	I1mr: 735,259	DLmr: 0	DLmw: 0	D1mr: 238,256	Dw: 19,402,535	Dr: 10,930,650	D1mw: 403,161
function: TEncSbac::codeQtCbf	Ir: 33,561,240	ILmr: 42	I1mr: 960,448	DLmr: 0	DLmw: 9	D1mr: 1,079,144	Dw: 8,495,356	Dr: 13,860,844	D1mw: 106,421
function: TEncSearch::xEstimateResidualQT	Ir: 32,779,286	ILmr: 488	I1mr: 1,030,463	DLmr: 142	DLmw: 108	D1mr: 2,199,188	Dw: 10,955,489	Dr: 12,367,239	D1mw: 819,141
function: TEncSearch::xRecurIntraCodingQT	Ir: 32,034,789	ILmr: 115	I1mr: 1,753,330	DLmr: 12	DLmw: 67	D1mr: 2,281,266	Dw: 10,249,682	Dr: 13,035,743	D1mw: 412,753
function: TComRdCost::calcRdCost	Ir: 32,018,860	ILmr: 117	I1mr: 265,643	DLmr: 20	DLmw: 0	D1mr: 1,350,053	Dw: 6,841,913	Dr: 11,103,078	D1mw: 20,517
function: TComDataCU::getPUAbove	Ir: 31,335,504	ILmr: 41	I1mr: 521,628	DLmr: 1,071	DLmw: 36	D1mr: 441,327	Dw: 7,130,124	Dr: 14,977,415	D1mw: 133,106
function: TEncBinCABAC::copyState	Ir: 30,999,984	ILmr: 12	I1mr: 48,384	DLmr: 43	DLmw: 249	D1mr: 2,802,615	Dw: 12,916,660	Dr: 16,791,658	D1mw: 879,906
function: TComRdCost::xGetSSE32	Ir: 30,232,380	ILmr: 156	I1mr: 44,716	DLmr: 0	DLmw: 0	D1mr: 416,493	Dw: 12,830,727	Dr: 13,270,113	D1mw: 49,693
